ticker,company,lat,lon,lat_round,lon_round
RCL,Royal Caribbean Group,25.7741566,-80.1935973,25.77,-80.19
SPGI,S&P Global,40.7127281,-74.0060152,40.71,-74.01
CRM,Salesforce,37.7932754,-122.3963589,37.79,-122.4
SBAC,SBA Communications,26.3586885,-80.0830984,26.36,-80.08
SLB,Schlumberger,29.7589382,-95.3676974,29.76,-95.37
STX,Seagate Technology,38.4168505,-86.9969385,38.42,-87.0
SRE,Sempra,32.7174202,-117.162772,32.72,-117.16
NOW,ServiceNow,37.3541132,-121.955174,37.35,-121.96
SHW,Sherwin-Williams,41.4996574,-81.6936772,41.5,-81.69
SPG,Simon Property Group,39.7683331,-86.1583502,39.77,-86.16
SWKS,Skyworks Solutions,33.6856969,-117.825981,33.69,-117.83
SJM,J.M. Smucker Company (The),40.8436664,-81.7640212,40.84,-81.76
SW,Smurfit Westrock,38.4168505,-86.9969385,38.42,-87.0
SNA,Snap-on,42.5846773,-87.8212263,42.58,-87.82
SOLV,Solventum,44.9497487,-93.0931028,44.95,-93.09
SO,Southern Company,33.7544657,-84.3898151,33.75,-84.39
LUV,Southwest Airlines,32.7762719,-96.7968559,32.78,-96.8
SWK,Stanley Black & Decker,41.6612104,-72.7795419,41.66,-72.78
SBUX,Starbucks,47.6038321,-122.330062,47.6,-122.33
STT,State Street Corporation,42.3554334,-71.060511,42.36,-71.06
STLD,Steel Dynamics,41.0799898,-85.1386015,41.08,-85.14
STE,Steris,38.4168505,-86.9969385,38.42,-87.0
SYK,Stryker Corporation,42.291707,-85.5872286,42.29,-85.59
