ticker,firm,county_fips,county_name,state,lat,lon
KR,Kroger,1071,McCracken,Kentucky,39.1014537,-84.5124602
LHX,L3Harris,1069,Martin,Kentucky,28.0785034,-80.6077908
LH,Labcorp,1019,Clinton,Kentucky,36.0956918,-79.4377991
LRCX,Lam Research,2016,Lamoure,North Dakota,37.5482697,-121.988571
LW,Lamb Weston,2016,Lamoure,North Dakota,43.6954424,-116.3540138
LVS,Las Vegas Sands,2016,Lamoure,North Dakota,36.1674263,-115.1484131
LDOS,Leidos,1019,Clinton,Kentucky,38.953282,-77.3464516
LEN,Lennar,1069,Martin,Kentucky,25.7741566,-80.1935973
LII,Lennox International,1023,Edmonson,Kentucky,32.9481789,-96.7297206
LLY,Lilly (Eli),1071,McCracken,Kentucky,39.7683331,-86.1583502
LYV,Live Nation Entertainment,2016,Lamoure,North Dakota,34.0696501,-118.3963062
LKQ,LKQ Corporation,1077,Metcalfe,Kentucky,41.8755616,-87.6244212
LMT,Lockheed Martin,1019,Clinton,Kentucky,38.9812726,-77.1233587
L,Loews Corporation,1019,Clinton,Kentucky,40.7127281,-74.0060152
LOW,Lowe's,1019,Clinton,Kentucky,35.5848596,-80.8100724
LULU,Lululemon Athletica,2016,Lamoure,North Dakota,46.838675,-100.7904921
LYB,LyondellBasell,1113,Acadia,Louisiana,51.8879268,4.4906558
MTB,M&T Bank,1071,McCracken,Kentucky,42.8867166,-78.8783922
MPC,Marathon Petroleum,1071,McCracken,Kentucky,41.0413873,-83.6503982
MKTX,MarketAxess,1019,Clinton,Kentucky,40.7127281,-74.0060152
MAR,Marriott International,1019,Clinton,Kentucky,38.9812726,-77.1233587
MMC,Marsh McLennan,1019,Clinton,Kentucky,40.7127281,-74.0060152
MLM,Martin Marietta Materials,1019,Clinton,Kentucky,35.7803977,-78.6390989
MAS,Masco,1071,McCracken,Kentucky,42.36837,-83.3527097
MA,Mastercard,1019,Clinton,Kentucky,40.9689871,-73.71263
MTCH,Match Group,1023,Edmonson,Kentucky,32.7762719,-96.7968559
MKC,McCormick & Company,1019,Clinton,Kentucky,39.4962709,-76.6542571
MCD,McDonald's,1077,Metcalfe,Kentucky,41.8755616,-87.6244212
MCK,McKesson Corporation,1023,Edmonson,Kentucky,32.8295183,-96.9442177
MDT,Medtronic,1077,Metcalfe,Kentucky,38.4168505,-86.9969385
MRK,Merck & Co.,1019,Clinton,Kentucky,40.6771374,-74.2870715
META,Meta Platforms,2016,Lamoure,North Dakota,37.4519671,-122.177992
MET,MetLife,1019,Clinton,Kentucky,40.7127281,-74.0060152
MTD,Mettler Toledo,1071,McCracken,Kentucky,39.9622601,-83.0007065
MGM,MGM Resorts,2016,Lamoure,North Dakota,36.0724299,-115.1474759
MCHP,Microchip Technology,2016,Lamoure,North Dakota,33.3062031,-111.841185
MU,Micron Technology,2016,Lamoure,North Dakota,43.6166163,-116.200886
MSFT,Microsoft,2130,Warren,Ohio,47.6694141,-122.1238767
MAA,Mid-America Apartment Communities,1033,Grant,Kentucky,35.1460249,-90.0517638
MRNA,Moderna,1019,Clinton,Kentucky,42.3656347,-71.1040018
MHK,Mohawk Industries,1067,Marion,Kentucky,31.5311784,-84.614328
MOH,Molina Healthcare,2016,Lamoure,North Dakota,33.7690164,-118.191604
TAP,Molson Coors Beverage Company,1077,Metcalfe,Kentucky,41.8755616,-87.6244212
MDLZ,Mondelez International,1077,Metcalfe,Kentucky,41.8755616,-87.6244212
MPWR,Monolithic Power Systems,2130,Warren,Ohio,47.6765382,-122.2070775
MNST,Monster Beverage,2016,Lamoure,North Dakota,33.8752945,-117.566444
MCO,Moody's Corporation,1019,Clinton,Kentucky,40.7127281,-74.0060152
MS,Morgan Stanley,1019,Clinton,Kentucky,40.7127281,-74.0060152
MOS,Mosaic Company (The),1069,Martin,Kentucky,27.9449854,-82.4583107
MSI,Motorola Solutions,1077,Metcalfe,Kentucky,41.8755616,-87.6244212
MSCI,MSCI Inc.,1019,Clinton,Kentucky,40.7127281,-74.0060152
NDAQ,"Nasdaq, Inc.",1019,Clinton,Kentucky,40.7127281,-74.0060152
NTAP,NetApp,2016,Lamoure,North Dakota,37.3361663,-121.890591
NFLX,Netflix,2016,Lamoure,North Dakota,37.226611,-121.9746797
NEM,Newmont,2016,Lamoure,North Dakota,39.7392364,-104.984862
NWSA,News Corp (Class A),1019,Clinton,Kentucky,40.7127281,-74.0060152
NWS,News Corp (Class B),1019,Clinton,Kentucky,40.7127281,-74.0060152
NEE,NextEra Energy,1069,Martin,Kentucky,26.8815475,-80.0539253
